Date/Time,ETR (Wh/m^2),Electricity:Facility [kW](Hourly),Normalized Solar Energy [kWh],Normalized SE2
 01/09  23:00:00,0,1.6580397766,0,0.022
 01/09  24:00:00,0,1.3514864247,0,0.024
 01/10  01:00:00,0,1.0458526445,0,0.025
 01/10  02:00:00,0,0.9241670616,0,0.032
 01/10  03:00:00,0,0.8770951992,0,0.047
 01/10  04:00:00,0,0.8666344792,0,0.065
 01/10  05:00:00,0,0.874182149,0,0.086
 01/10  06:00:00,0,0.929106481,0,0.098
 01/10  07:00:00,0,1.1466672154,0,0.103
 01/10  08:00:00,32,1.4779933074,0.08,0.129
 01/10  09:00:00,220,1.400654018,0.55,0.153
 01/10  10:00:00,398,1.203240154,0.995,0.21
 01/10  11:00:00,526,1.2347133321,1.315,0.285
 01/10  12:00:00,594,1.1981459857,1.485,0.382
 01/10  13:00:00,597,1.1623258211,1.4925,0.487
 01/10  14:00:00,535,1.1312067568,1.3375,0.571
 01/10  15:00:00,413,1.1267359569,1.0325,0.679
 01/10  16:00:00,239,1.2001741716,0.5975,0.785
 01/10  17:00:00,45,1.4665431598,0.1125,0.876
 01/10  18:00:00,0,1.9960264879,0,0.889
 01/10  19:00:00,0,2.3012141831,0,0.915
 01/10  20:00:00,0,2.2657200969,0,0.949
 01/10  21:00:00,0,2.1221916592,0,0.964
 01/10  22:00:00,0,1.9659497538,0,0.97
 01/10  23:00:00,0,1.6598332998,0,0.949
 01/10  24:00:00,0,1.3574570118,0,0.986
 01/11  01:00:00,0,1.0582730399,0,1.008
 01/11  02:00:00,0,0.9380881028,0,1.001
 01/11  03:00:00,0,0.8927144305,0,1.06
 01/11  04:00:00,0,0.8828969162,0,0.972
 01/11  05:00:00,0,0.8817701045,0,0.935
 01/11  06:00:00,0,0.9384229356,0,0.98
 01/11  07:00:00,0,1.1576753076,0,0.932
 01/11  08:00:00,33,1.4904843562,0.0825,0.972
 01/11  09:00:00,222,1.4113709459,0.555,0.916
 01/11  10:00:00,400,1.2157744684,1,0.863
 01/11  11:00:00,529,1.228364744,1.3225,0.816
 01/11  12:00:00,597,1.1985026435,1.4925,0.793
 01/11  13:00:00,601,1.1562575272,1.5025,0.734
 01/11  14:00:00,539,1.1217072378,1.3475,0.675
 01/11  15:00:00,417,1.0964651136,1.0425,0.62
 01/11  16:00:00,243,1.1730847636,0.6075,0.61
 01/11  17:00:00,48,1.4471698537,0.12,0.634
 01/11  18:00:00,0,1.9847745953,0,0.645
 01/11  19:00:00,0,2.297011816,0,0.58
 01/11  20:00:00,0,2.2591058666,0,0.591
 01/11  21:00:00,0,2.1124789811,0,0.651
 01/11  22:00:00,0,1.9482451753,0,0.642
 01/11  23:00:00,0,1.636085459,0,0.651
 01/11  24:00:00,0,1.3271825914,0,0.684
 01/12  01:00:00,0,1.0189931738,0,0.722
 01/12  02:00:00,0,0.9059728399,0,0.674
 01/12  03:00:00,0,0.8593676211,0,0.668
 01/12  04:00:00,0,0.853316625,0,0.651
 01/12  05:00:00,0,0.8591546017,0,0.597
 01/12  06:00:00,0,0.9184926441,0,0.579
 01/12  07:00:00,0,1.1677691269,0,0.565
 01/12  08:00:00,34,1.4612219713,0.085,0.61
 01/12  09:00:00,223,1.3990085375,0.5575,0.646
 01/12  10:00:00,403,1.1993927674,1.0075,0.664
 01/12  11:00:00,531,1.2096702684,1.3275,0.657
 01/12  12:00:00,600,1.1643588197,1.5,0.673
 01/12  13:00:00,604,1.1488326661,1.51,0.698
 01/12  14:00:00,543,1.0902212983,1.3575,0.675
 01/12  15:00:00,422,1.08932843,1.055,0.65
 01/12  16:00:00,248,1.1692167779,0.62,0.67
 01/12  17:00:00,50,1.4349867007,0.125,0.708
 01/12  18:00:00,0,1.960555384,0,0.693
 01/12  19:00:00,0,2.2614392749,0,0.668
 01/12  20:00:00,0,2.2167606045,0,0.678
 01/12  21:00:00,0,2.0604698009,0,0.708
 01/12  22:00:00,0,1.8925948095,0,0.759
 01/12  23:00:00,0,1.5758094954,0,0.777
 01/12  24:00:00,0,1.259710012,0,0.768
 01/13  01:00:00,0,0.9461862037,0,0.787
 01/13  02:00:00,0,0.8208191107,0,0.798
 01/13  03:00:00,0,0.7732690643,0,0.791
 01/13  04:00:00,0,0.7591174145,0,0.679
 01/13  05:00:00,0,0.7546858041,0,0.585
 01/13  06:00:00,0,0.8053120416,0,0.57
 01/13  07:00:00,0,1.0320761997,0,0.57
 01/13  08:00:00,35,1.3307973585,0.0875,0.58
 01/13  09:00:00,225,1.2831401374,0.5625,0.595
 01/13  10:00:00,405,1.1031760356,1.0125,0.578
 01/13  11:00:00,534,1.1259640895,1.335,0.576
 01/13  12:00:00,604,1.1121589989,1.51,0.598
 01/13  13:00:00,608,1.0948550266,1.52,0.594
 01/13  14:00:00,548,1.0619885154,1.37,0.596
 01/13  15:00:00,426,1.0572848434,1.065,0.582
 01/13  16:00:00,252,1.1306005295,0.63,0.608
 01/13  17:00:00,53,1.3934141822,0.1325,0.643
 01/13  18:00:00,0,1.9207799074,0,0.696
 01/13  19:00:00,0,2.2306077532,0,0.764
 01/13  20:00:00,0,2.1897289127,0,0.79
 01/13  21:00:00,0,2.0342997776,0,0.814
 01/13  22:00:00,0,1.8671313435,0,0.832
 01/13  23:00:00,0,1.5650298432,0,0.816
 01/13  24:00:00,0,1.2683547895,0,0.822
 01/14  01:00:00,0,0.9794529897,0,0.861
 01/14  02:00:00,0,0.8655089444,0,0.886
 01/14  03:00:00,0,0.8050982343,0,0.903
 01/14  04:00:00,0,0.7919291238,0,0.905
 01/14  05:00:00,0,0.7936845575,0,0.866
 01/14  06:00:00,0,0.8511803944,0,0.791
 01/14  07:00:00,0,1.0758919374,0,0.808
 01/14  08:00:00,36,1.4180556161,0.09,0.818
 01/14  09:00:00,227,1.3666663582,0.5675,0.761
 01/14  10:00:00,408,1.1922896743,1.02,0.82
